Trainset ID: 1, Route length: 93
ID: 2, Weight: 500, Type: Passenger
ID: 13, Weight: 500, Type: Passenger
ID: 33, Weight: 500, Type: Passenger
ID: 22, Weight: 500, Type: Passenger
ID: 11, Weight: 700, Type: Restaurant
ID: 23, Weight: 700, Type: Restaurant
ID: 3, Weight: 875, Type: Refrigerator
ID: 21, Weight: 875, Type: Gaseous
ID: 37, Weight: 1000, Type: Liquid Toxic Car
ID: 18, Weight: 1000, Type: Liquid Toxic Car
Trainset ID: 3, Route length: 81
ID: 149, Weight: 500, Type: Passenger
ID: 141, Weight: 500, Type: Passenger
ID: 101, Weight: 500, Type: Passenger
ID: 105, Weight: 500, Type: Passenger
ID: 133, Weight: 800, Type: Liquid
ID: 117, Weight: 800, Type: Liquid
ID: 109, Weight: 825, Type: Railroad Post Office Car
ID: 150, Weight: 825, Type: Railroad Post Office Car
ID: 111, Weight: 850, Type: Explosive
ID: 121, Weight: 875, Type: Refrigerator
Trainset ID: 25, Route length: 81
ID: 1230, Weight: 500, Type: Passenger
ID: 1234, Weight: 500, Type: Passenger
ID: 1208, Weight: 500, Type: Passenger
ID: 1204, Weight: 700, Type: Restaurant
ID: 1241, Weight: 700, Type: Restaurant
ID: 1212, Weight: 700, Type: Restaurant
ID: 1238, Weight: 875, Type: Gaseous
ID: 1237, Weight: 875, Type: Refrigerator
ID: 1218, Weight: 875, Type: Gaseous
ID: 1244, Weight: 875, Type: Refrigerator
Trainset ID: 12, Route length: 72
ID: 566, Weight: 500, Type: Passenger
ID: 595, Weight: 500, Type: Passenger
ID: 565, Weight: 500, Type: Passenger
ID: 580, Weight: 700, Type: Restaurant
ID: 555, Weight: 800, Type: Liquid
ID: 574, Weight: 825, Type: Railroad Post Office Car
ID: 594, Weight: 850, Type: Explosive
ID: 600, Weight: 875, Type: Refrigerator
ID: 592, Weight: 875, Type: Refrigerator
ID: 552, Weight: 875, Type: Gaseous
Trainset ID: 5, Route length: 71
ID: 208, Weight: 500, Type: Passenger
ID: 241, Weight: 825, Type: Railroad Post Office Car
ID: 217, Weight: 850, Type: Explosive
ID: 232, Weight: 850, Type: Explosive
ID: 220, Weight: 875, Type: Gaseous
ID: 247, Weight: 875, Type: Refrigerator
